name,imageUrl,positionName,id,parentId,narkoba,berat
"Ahriman REto",,Kurir,1,3,"Heroin,Sabu-sabu,Ganja","1 kg"
Arey,,Bandar,3,,"Ganja,Heroin","10000 gram"
Kisiman,,Pengguna,4,1,Ekstasi,"1200 gram"
Ray,,Kurir,6,3,Sabu-sabu,"120000 gram"
Waro,,Pengguna,7,6,"Ganja,Sabu-sabu","1200 gra"
Yaya,,Pengguna,9,6,Sabu-sabu,"1200 gra"
"Ahriman AS",,Pengguna,10,1,"Heroin,Ganja","1200 gra"
angngn,,Pengguna,11,6,"Ekstasi,Ganja","1200 gra"
Firkas,,Kurir,13,3,Ganja,"1200 gram"
Areui,,Pengguna,15,13,,"1200 gram"
niki,,Pengguna,16,13,,"1200 gram"
Aren,,Pengguna,17,13,,"1200 gram"
sdfdf,,Pengguna,18,13,,575
Philip,,Kurir,19,3,,"1200 gram"
